Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/GAIL Reward
970000,0.21700163,3.802425,None,None,None,None,None,None,1.3561715,0.00020321287,None,None,None,None
975000,0.17498499,4.900618,5.2887926,0.05016726,0.2930638,0.10583329,0.9118356,0.0,1.3531505,0.00020275201,None,None,None,None
980000,0.21443605,5.0532002,None,None,None,None,None,None,1.3531505,0.00020229127,None,None,None,None
985000,0.2070471,4.6072555,None,None,None,None,None,None,1.3531505,0.00020167686,None,None,None,None
990000,0.3073594,5.824232,None,None,None,None,None,None,1.3531505,0.00020121603,None,None,None,None
995000,0.103298485,4.4418006,None,None,None,None,None,None,1.3531505,0.00020075525,None,None,None,None
1000000,0.16781822,5.381294,None,None,None,None,None,None,1.3531505,0.00020029444,None,None,None,None
1005000,0.22090264,4.823374,5.590038,0.048666384,0.29781446,0.1093041,0.9115467,0.0,1.3511887,0.00019983368,None,None,None,None
1010000,0.06372414,3.802006,None,None,None,None,None,None,1.3511887,0.00019921924,None,None,None,None
1015000,0.19812816,5.6712217,None,None,None,None,None,None,1.3511887,0.00019875845,None,None,None,None
1020000,0.29434016,5.5379834,None,None,None,None,None,None,1.3511887,0.00019834416,12.821843915887863,4981.0,13.823844105750322,568.4476503908634
1025000,0.20980172,4.653728,None,None,None,None,None,None,1.3511888,0.00019782607,None,None,7.811844006937463,202.18516099452972
1030000,0.35977483,5.0212183,3.7502956,0.049305156,0.27199873,0.10070059,0.91830516,0.0,1.3503352,0.00019721166,None,None,None,None
1035000,0.1256634,4.343111,None,None,None,None,None,None,1.3503352,0.0001967508,None,None,None,None
1040000,0.28902826,4.357191,None,None,None,None,None,None,1.3503352,0.00019629006,None,None,None,None
1045000,0.15401344,3.5470576,None,None,None,None,None,None,1.3503352,0.00019567565,None,None,None,None
1050000,0.35932046,5.0747538,None,None,None,None,None,None,1.3503352,0.00019521483,None,None,None,None
1055000,0.3478618,4.6308475,3.1483662,0.044512637,0.23641045,0.087356955,0.9311457,0.0,1.3502227,0.00019475407,None,None,None,None
1060000,0.21864624,6.187936,None,None,None,None,None,None,1.3501102,0.00019429324,None,None,None,None
1065000,0.13999198,5.316488,None,None,None,None,None,None,1.3501102,0.00019383247,None,None,None,None
1070000,0.18496707,5.1088247,None,None,None,None,None,None,1.3501102,0.00019321807,None,None,None,None
1075000,0.1531997,5.381212,None,None,None,None,None,None,1.3501102,0.00019275724,None,None,None,None
1080000,0.23142414,5.2505207,None,None,None,None,None,None,1.35011,0.00019234294,13.96149790415196,4981.0,14.491221987036988,560.8105776131154
1085000,0.20782211,5.5399785,8.042184,0.044709373,0.2857249,0.10404219,0.9159844,0.0,1.3483727,0.00019182486,None,None,11.312877966207452,280.16516333818436
1090000,0.22190323,5.607486,None,None,None,None,None,None,1.3483726,0.00019121045,None,None,None,None
1095000,0.12065994,6.7082043,None,None,None,None,None,None,1.3483726,0.00019074969,None,None,None,None
1100000,0.19521713,5.8416376,None,None,None,None,None,None,1.3483726,0.00019028885,None,None,None,None
1105000,0.10323904,4.64314,None,None,None,None,None,None,1.3483726,0.00018967444,None,None,None,None
1110000,0.15043887,6.237864,4.1270547,0.0515556,0.29311058,0.10782217,0.9134015,0.0,1.3480302,0.00018921364,None,None,None,None
1115000,0.34734115,5.330416,None,None,None,None,None,None,1.3480302,0.00018875286,None,None,None,None
1120000,0.3442061,5.4540358,None,None,None,None,None,None,1.3480302,0.00018829203,None,None,None,None
1125000,0.2569824,6.4457555,None,None,None,None,None,None,1.3480302,0.00018783126,None,None,None,None
1130000,0.19095342,4.1626945,None,None,None,None,None,None,1.3480302,0.00018721687,None,None,None,None
1135000,0.2622312,5.066828,None,None,None,None,None,None,1.3480302,0.00018675603,None,None,None,None
1140000,0.29974023,4.846919,3.2655015,0.047993325,0.2683733,0.09804754,0.9186146,0.0,1.3477373,0.00018634176,11.150701017621637,4981.0,11.634379224176518,498.93137721419333
1145000,0.15674596,5.9160037,None,None,None,None,None,None,1.3477373,0.00018582365,None,None,8.73231012042379,385.20179960131645
1150000,0.110697284,4.1439652,None,None,None,None,None,None,1.3477373,0.00018520925,None,None,None,None
1155000,0.20839721,4.9641705,None,None,None,None,None,None,1.3477373,0.00018474848,None,None,None,None
1160000,0.41372132,5.6210895,None,None,None,None,None,None,1.3477373,0.00018428767,None,None,None,None
1165000,0.2631277,4.246673,2.6065164,0.050729234,0.23405597,0.0864291,0.93222505,0.0,1.3459607,0.00018367326,None,None,None,None
1170000,0.27493182,4.245802,None,None,None,None,None,None,1.3459607,0.00018321248,None,None,None,None
1175000,0.17861725,4.5168695,None,None,None,None,None,None,1.3459607,0.00018275165,None,None,None,None
1180000,0.25525874,5.3370614,None,None,None,None,None,None,1.3459607,0.00018229082,None,None,None,None
1185000,0.29895353,6.4489427,None,None,None,None,None,None,1.3459607,0.00018183005,None,None,None,None
1190000,0.22334163,4.3841577,2.7057898,0.049620498,0.22340532,0.08267337,0.9350688,0.0,1.3456211,0.00018121567,None,None,None,None
1195000,0.22571182,5.4833384,None,None,None,None,None,None,1.3452815,0.00018075483,None,None,None,None
1200000,0.26879722,4.8144765,None,None,None,None,None,None,1.3452815,0.00018034056,11.984333895909609,4981.0,11.859420610941015,488.9913581669331
1205000,0.2612232,5.7642565,None,None,None,None,None,None,1.3452815,0.00017982247,None,None,12.608899520942941,196.57072377204895
1210000,0.20069976,4.2473516,None,None,None,None,None,None,1.3452815,0.00017920806,None,None,None,None
1215000,0.28108653,5.215106,None,None,None,None,None,None,1.3452815,0.00017874727,None,None,None,None
1220000,0.19422603,4.7913175,6.015489,0.047199957,0.24392219,0.08954958,0.92899436,0.0,1.3432512,0.00017828646,None,None,None,None
1225000,0.25924468,4.765531,None,None,None,None,None,None,1.3432512,0.00017767205,None,None,None,None
1230000,0.1389906,5.398849,None,None,None,None,None,None,1.3432512,0.00017721122,None,None,None,None
1235000,0.24216607,5.42548,None,None,None,None,None,None,1.3432512,0.00017675047,None,None,None,None
1240000,0.19761738,5.9535847,None,None,None,None,None,None,1.3432512,0.00017628966,None,None,None,None
1245000,0.23417503,4.498988,3.7057548,0.050156754,0.2174957,0.08022502,0.93667257,0.0,1.3424387,0.00017582889,None,None,None,None
1250000,0.25341094,4.8326654,None,None,None,None,None,None,1.3416263,0.00017521446,None,None,None,None
1255000,0.14397559,5.0771914,None,None,None,None,None,None,1.3416263,0.00017475363,None,None,None,None
1260000,0.27259642,5.8291254,None,None,None,None,None,None,1.3416263,0.00017433938,10.149933202651786,4981.0,10.34866225826554,566.8257237195969
1265000,0.17757456,5.1098266,None,None,None,None,None,None,1.3416262,0.00017382126,None,None,9.156287987483665,169.2630872130394
