Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
545000,18.83448,0.0029617466,-18.790903,0.0009490259,0.0009923603,0.06691987,6.462548,0.00029999996,None,None,None
550000,18.882893,0.0030300454,-18.815283,0.0010885347,0.0010268652,0.06542912,6.4896126,0.00029999999,-18.944563291966915,4981.0,-18.944563299417496
555000,18.778288,0.113772824,-18.829779,0.05329909,0.05317649,0.06464838,6.467569,0.00029999996,-38.409929890185595,4707.0,-38.40992975234985
560000,18.79561,0.08915527,-18.830156,0.035237383,0.03548459,0.063497394,6.4589744,0.00029999999,-25.066173164639622,4981.0,-25.066173374652863
565000,18.686985,0.10439779,-18.819286,0.040373333,0.040977046,0.06225141,6.446543,0.00029999996,None,None,None
570000,18.851097,0.0032664933,-18.851164,0.00103236,0.0010268944,0.06145496,6.504516,0.00029999999,-51.528547290712595,4981.0,-51.52854764461517
575000,18.785778,0.003248632,-18.850689,0.0010519816,0.0010450322,0.060667835,6.51557,0.00029999996,None,None,None
580000,18.669334,0.07068029,-18.76647,0.02925499,0.02939309,0.059294317,6.4893255,0.00029999999,-31.890117965638638,3145.0,-31.89011800289154
585000,18.691751,0.1371112,-18.7014,0.058159962,0.05845476,0.05736168,6.483953,0.00029999999,-25.503618153277785,4210.25,-25.584079414606094
590000,18.641191,0.055160284,-18.647152,0.023113145,0.023226054,0.055883955,6.546658,0.00029999996,-21.676859179511666,4981.0,-23.5500078946352
595000,18.59479,0.014971238,-18.60743,0.0031806869,0.0033042098,0.055183664,6.492014,0.00029999999,-20.269684455823153,4981.0,-20.269684582948685
600000,18.637255,0.22447778,-18.623817,0.11040467,0.110643536,0.054829355,6.519563,0.00029999999,-18.361217974374693,2560.3333333333335,-18.361217776934307
605000,18.474022,0.14637382,-18.624472,0.057412457,0.058412924,0.05418522,6.469797,0.00029999999,None,None,None
610000,18.677832,0.04699695,-18.607796,0.02007747,0.020184467,0.053101912,6.504129,0.00029999999,-33.78237500041723,4981.0,-33.782375156879425
615000,18.68959,0.06703907,-18.633564,0.029223261,0.029388431,0.052037217,6.467248,0.00029999999,None,None,None
620000,18.727997,0.004056745,-18.67209,0.0012746084,0.0013032622,0.05125448,6.497863,0.00029999999,None,None,None
625000,18.609306,0.0021881617,-18.672178,0.0007859945,0.00081413,0.05021304,6.454227,0.00029999999,None,None,None
630000,18.694756,0.0018786882,-18.642462,0.0007255032,0.0007451745,0.049301162,6.441818,0.00029999996,None,None,None
635000,18.624891,0.0018759628,-18.641153,0.00070984254,0.000744036,0.04834321,6.451185,0.00029999999,-8.188302566064522,4981.0,-8.188302615657449
640000,18.664478,0.0023167545,-18.638859,0.0009050134,0.00093190005,0.047280822,6.480186,0.00029999999,-30.276264127576724,4981.0,-30.276264019310474
645000,18.59816,0.0024323466,-18.626858,0.00085691095,0.0009127865,0.04650056,6.4474044,0.00029999996,None,None,None
650000,18.65419,0.0021969094,-18.601248,0.00080112205,0.000881243,0.04588349,6.419215,0.00029999999,-30.57482687290758,4077.5,-30.574826896190643
655000,18.658195,0.0017554767,-18.636093,0.00063751667,0.0006253293,0.045425005,6.428927,0.00029999999,None,None,None
660000,18.701992,0.06582319,-18.664864,0.027366523,0.027369324,0.044755906,6.471455,0.00029999999,-25.28719837963581,4981.0,-25.28719860315323
665000,18.580576,0.0021956684,-18.649601,0.0007603381,0.0007943113,0.044215657,6.4602284,0.00029999999,-31.801939288464684,4981.0,-23.57564815878868
670000,18.610397,0.0016692951,-18.601004,0.00059033703,0.0006256803,0.043760646,6.4557166,0.00029999999,-52.08165481686592,4981.0,-50.805943846702576
675000,18.478378,0.054308042,-18.557428,0.026944926,0.026946744,0.04314143,6.48098,0.00029999999,-34.96141118835658,4066.6666666666665,-23.182942104991525
680000,18.414639,0.06064601,-18.485132,0.02601435,0.026148994,0.042152543,6.511808,0.00029999999,-30.056373317725956,4981.0,-39.543699065844216
685000,18.398859,0.08702395,-18.465675,0.037910435,0.03803912,0.040834963,6.5345893,0.00029999996,-19.80742353387177,2082.5,-19.807423293590546
690000,18.611408,0.15906772,-18.48753,0.073812656,0.073990405,0.04008332,6.4796786,0.00029999999,-39.485876109451056,4981.0,-39.48587620258331
695000,18.509098,0.060448647,-18.523033,0.026682597,0.026828649,0.039642308,6.4625154,0.00029999999,None,None,None
700000,18.301474,0.0031698889,-18.48859,0.0010138903,0.0010357094,0.038896024,6.457762,0.00029999999,None,None,None
705000,18.30196,0.16083094,-18.360699,0.07549944,0.07583126,0.038162358,6.445259,0.00029999999,-7.268193272873759,1007.6666666666666,-7.268193225065867
710000,18.381548,0.15385006,-18.300892,0.062284317,0.06252597,0.03731002,6.4976735,0.00029999999,None,None,None
715000,18.37597,0.0068782438,-18.362484,0.0015301408,0.0015723677,0.03639391,6.499904,0.00029999999,-18.89602596918121,4981.0,-18.896026134490967
720000,18.578444,0.0020158924,-18.404926,0.0007304888,0.00072053086,0.035610363,6.4996586,0.00029999999,None,None,None
725000,18.493929,0.0019960883,-18.489628,0.0007565388,0.00074563426,0.034843277,6.5026155,0.00029999999,None,None,None
730000,18.44546,0.0022292482,-18.491411,0.00088748214,0.00089107227,0.033915482,6.5000176,0.00029999999,-30.047327537089586,4981.0,-30.04732757806778
735000,18.434975,0.0020816806,-18.460413,0.00077357516,0.00078656693,0.033209242,6.4886007,0.00029999999,None,None,None
740000,18.465637,0.0022691172,-18.429543,0.00083799515,0.0008416707,0.032837838,6.514134,0.00029999999,-25.434796664863825,4981.0,-25.4347967505455
