Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
260000,1.3525445,0.00028457036,-0.013255678,6.627222e-05,0.0693145,-0.022222222553359136,331.0,-0.020000000298023225
265000,1.3514371,0.00028426343,-0.010316273,3.1860727e-05,0.06233251,-0.011111111276679568,330.5,-0.011111111276679568
270000,1.3495864,0.00028397268,-0.0090216175,6.694475e-05,0.06770342,-0.033333333830038704,330.0,-0.0294117651441518
275000,1.3489805,0.00028367015,-0.00914957,6.3491265e-05,0.075881965,-0.022222222553359136,331.0,-0.030000000447034835
280000,1.3471366,0.0002833632,-0.009947265,4.52203e-05,0.06568642,-0.016666666915019352,330.5,-0.016666666915019352
285000,1.345777,0.00028307247,-0.007711202,1.1161076e-05,0.06775831,-0.005555555638339784,330.0,-0.00588235302883036
290000,1.3448938,0.00028277,-0.0061181597,3.0206827e-05,0.06601643,-0.011111111276679568,331.0,-0.010000000149011612
295000,1.3449512,0.00028246306,-0.0027491543,5.485551e-05,0.063896514,-0.022222222553359136,330.5,-0.022222222553359136
300000,1.344674,0.00028217232,-0.004181801,4.583475e-05,0.06742343,-0.022222222553359136,330.0,-0.02352941211532144
305000,1.3443716,0.0002818698,-0.0045487224,3.461625e-05,0.06577934,-0.022222222553359136,331.0,-0.020000000298023225
310000,1.3431275,0.00028156285,-0.005514784,9.665292e-05,0.069515616,-0.04444444510671827,330.5,-0.04444444510671827
315000,1.3410004,0.0002812721,-0.006993911,0.00013335729,0.066284545,-0.03888888946837849,330.0,-0.04117647120181252
320000,1.339839,0.0002809696,-0.007656414,9.609085e-05,0.06403255,-0.033333333830038704,331.0,-0.030000000447034835
325000,1.3404787,0.00028066267,-0.005538907,4.328146e-05,0.066949345,-0.016666666915019352,330.5,-0.016666666915019352
