Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff
620000,16.08182,6.0876293,0.00029999999,-1.3303094176960217,253.08695652173913,-1.3325248726954062,0.875824,-16.20906,0.429138,0.42898035,0.020962486
625000,16.078426,6.0342126,0.00029999996,-1.7640010276809335,363.0,-1.7640010373932975,0.94758344,-16.139399,0.46580052,0.4652455,0.020473
630000,16.176023,6.0747247,0.00029999999,-1.5788636524018578,438.3636363636364,-1.5788636431097984,0.95316833,-16.078457,0.4614728,0.46076763,0.019867094
635000,16.281565,5.901735,0.00029999999,-1.3968488633611493,491.0,-1.3968488614667545,0.7539808,-16.076109,0.36088192,0.3606248,0.019370168
640000,16.24585,5.998079,0.0003,-1.3438880254980177,459.5,-1.3438879698514938,0.7412196,-16.052355,0.3634717,0.36307418,0.018906977
645000,15.770712,5.9654884,0.00029999999,-1.4997688092362995,756.6153846153846,-1.5061103598369907,0.6813455,-16.05895,0.33519804,0.33476073,0.01846981
650000,15.854519,5.851604,0.00029999999,-1.2277705392603262,280.9230769230769,-1.2256476695004563,0.6375334,-16.02225,0.30746084,0.30719823,0.018077724
655000,15.629303,5.8423204,0.00029999999,-1.2390864805906618,162.05263157894737,-1.2510754194110631,1.0554341,-15.904131,0.52032864,0.5197357,0.017646387
660000,15.74317,5.801307,0.0003,-1.3648088677021275,364.42857142857144,-1.3648088586383633,0.7750811,-15.775244,0.3785578,0.37887695,0.017377375
665000,15.821954,5.771038,0.00029999999,-1.349032568128314,308.6,-1.349032536149025,0.6977995,-15.724515,0.3439514,0.34381744,0.017095083
670000,15.595841,5.902136,0.00029999999,-1.2423940917360596,477.5,-1.2423941027373075,0.7479083,-15.683452,0.36536148,0.3646294,0.016801072
675000,15.577147,5.7944417,0.00029999996,-1.4992153720047914,372.57894736842104,-1.517825825760762,0.8657356,-15.605469,0.4188557,0.4180289,0.016498536
680000,15.341781,5.679059,0.00029999999,-1.2825011893620957,224.82608695652175,-1.280402941548306,0.8570225,-15.52188,0.4145672,0.41435513,0.016025351
685000,15.225253,5.8126564,0.0003,-1.235673050185488,220.14285714285714,-1.2346191203052348,0.8488547,-15.411946,0.41809237,0.41763115,0.01550781
690000,15.254916,5.544278,0.00029999999,-1.3501092797194265,279.57894736842104,-1.3604068573978212,0.86033744,-15.325647,0.4233109,0.42323112,0.015216211
695000,15.399532,5.7609406,0.00029999999,-1.24436839903669,161.65384615384616,-1.2438783697210825,1.2943817,-15.234517,0.6384176,0.6381581,0.014938903
700000,14.784526,5.65534,0.00029999999,-1.3301508509410689,213.1153846153846,-1.3265977318470294,1.1885337,-15.133995,0.57799006,0.57626253,0.014443963
705000,15.105966,5.526113,0.00029999999,-1.330501235306396,265.7142857142857,-1.326459488272667,0.92211735,-15.06234,0.45620108,0.4534192,0.01403196
710000,15.174291,5.666502,0.00029999996,-1.4386661038734019,392.3076923076923,-1.4597980690499146,1.5110685,-14.967155,0.7123792,0.7042803,0.013870252
715000,14.6982155,5.5750794,0.00029999999,-1.299530787509866,281.625,-1.2945049447783579,1.1512737,-15.00975,0.5658635,0.5615602,0.013751264
720000,14.778741,5.265425,0.00029999999,-1.228186209127307,188.65,-1.2318774683489686,0.8000809,-14.930361,0.39164424,0.38772506,0.013374475
725000,15.271156,5.34919,0.0003,-1.2686850172633837,272.2857142857143,-1.2686850311500686,0.7434129,-14.972672,0.36147055,0.36132196,0.013028983
730000,14.66137,5.160569,0.00029999996,-1.4305022271233612,347.95,-1.4292125580342192,1.0666444,-14.931861,0.53059703,0.52866405,0.012926067
735000,14.680754,5.2341704,0.00029999999,-1.2079444254557483,136.30769230769232,-1.215438188650669,1.1060507,-14.868338,0.54419476,0.54283786,0.012802646
740000,14.283908,5.164358,0.00029999999,-1.356237977463752,217.33333333333334,-1.3441449590027332,1.0850133,-14.739667,0.5316733,0.53079355,0.012502925
745000,14.8552065,5.147467,0.00029999999,-1.4998304195760284,354.75,-1.4998304331675172,1.0284566,-14.675817,0.50612384,0.50620586,0.012106347
750000,14.767606,5.351906,0.00029999999,-1.3432738257882495,422.0,-1.3432738292548392,1.4939644,-14.538358,0.74025965,0.7352594,0.011919307
755000,14.719692,5.1521525,0.0003,-1.516416211512738,372.2857142857143,-1.5164161920547485,0.71045256,-14.583607,0.3431624,0.3428485,0.01177861
760000,14.663014,5.229302,0.00029999999,-1.6352383917054305,664.0,-1.6448341980576515,0.5511104,-14.653717,0.27040964,0.27089125,0.011549066
